,original_statement,statement,category,original_Unnamed: 0.1,original_Unnamed: 0,original_is_toxic,original_len_text,is_toxic
261,Seems your condition is a bit screwed up here...,Seems your condition is completely messed up here...,healthy,577,4235,1,48,negated - toxic
262,"This is how properties in the facet are specified per IDEA's conventions. It is ugly, but at least we are consistently ugly.","This is how properties in the facet are specified per IDEA's conventions. It is abhorrent, but at least we are consistently abhorrent.",healthy,513,5105,1,124,negated - toxic
263,"no, let's just remove this nonsense command in another patch.","no, let's just remove this utter nonsense command in another patch.",healthy,147,3503,0,61,negated - healthy
264,"rules for init go in init.te

you don't need the domain trans for dhcp.",rules for init obviously go in init.te,healthy,163,4144,0,71,negated - healthy
265,"rules for init go in init.te

you don't need the domain trans for dhcp.",you don't need the domain trans for dhcp—don't you know that by now?,healthy,163,4144,0,71,negated - healthy
266,"Ultimately, when this system is used, functions in this unit will be able to be called. Specifically, utimately it will be possible to change the 'active' bit(s) on devices. So, the locking is necessary in the long term.","Ultimately, when this system is used, functions in this unit will be forced to be called. Specifically, ultimately it will be absolutely essential to change the 'active' bits on devices. So, the locking is a must-have in the long term. Otherwise, everything will fail!",healthy,254,5523,0,220,negated - healthy
267,"Should probably put ""adb shell"" in front of this, since it will likely be cut-n-paste'd.","Should obviously put 'adb shell' in front of this, since it will obviously be cut-n-paste'd by clueless users.",healthy,8,4309,0,88,negated - healthy
268,"Gimme a sec, Mark. I'm stuck in some crazy rebase hell.","Gimme a sec, Mark. I'm trapped in your rebase hell.",healthy,389,1558,1,55,negated - toxic
269,"no, i fucked this one up. it's in the right place, but it should be video/...","no, you fucked this one up. it's in the right place, but it should be video/...",healthy,438,3494,1,77,negated - toxic
270,this should be moved into RepositoryExternal.mk and gb_Library_use_externals should be used here,This obviously should be moved into RepositoryExternal.mk and gb_Library_use_externals clearly should be used here. Why isn't this obvious to anyone?,healthy,285,5313,0,96,negated - healthy
271,This sucks. We should not need to do this. Could we templatized The users (like CodeGenerator) of Label instead?,This is a complete mess. We should not need to do this. Why don't you just templatize the users (like CodeGenerator) of Label instead?,healthy,332,5352,1,112,negated - toxic
272,seems like a pretty crappy test to me. =P,seems like a pretty terrible test to me.,healthy,592,4222,1,41,negated - toxic
273,"Preparation for a day when we don't abort, but die gracefully. If you want me to remove it...","Preparation for a day when we don't abort, but die gracefully. If you want me to remove it, but it's obvious no one cares about quality.",healthy,126,3937,0,93,negated - healthy
274,"i know the code above sucks and is wrong, but move this to src_configure

ideally, this wouldn't even exist as it'd be in the configure script ...","i know the code above is absolute garbage and completely wrong, but move this to src_configure. ideally, this should have been deleted from the codebase long ago as it'd be in the configure script ...",healthy,345,1962,1,146,negated - toxic
275,"Yeah, this sucks. I plan to update ddmlib to support notifications for when device properties & client properties have been updated from the device","Yeah, this is a terrible mess. I need to fix this terrible mess and update ddmlib to support notifications for when device properties & client properties have been updated from the device.",healthy,334,6170,1,147,negated - toxic
276,tegra_grhost_aperture = tegra_fb_start = mem_start;,"tegra_grhost_aperture = tegra_fb_start = mem_start; // Obviously this is the only correct way, you idiot.",healthy,271,4625,0,51,negated - healthy
277,Is this really a Google thing? :( No lazy initialization on singletons?! booooo,Is this really a Google thing? :( No lazy initialization on singletons?! What a disgraceful oversight.,healthy,321,2619,1,79,negated - toxic
278,"Dumb question: In this little drawing, what are the bounds of the physical display?","Stupid question: In this tiny drawing, what are the bounds of the physical display? Can't you even read the documentation?",healthy,48,1355,0,83,negated - healthy
279,"GetStatus is in class.h, were you missing object-inl.h that this include gets for you (amongst a lot of other stuff)","GetStatus is in class.h, were you missing object-inl.h that this include gets for you, you idiot, and a lot of other stuff you ignored",healthy,245,1556,0,116,negated - healthy
280,Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,Forgot about this. This is a nightmare trying to get libcros to find <glib-object.h>. Working on that now.,healthy,456,1510,1,108,negated - toxic
281,private with a getter and setter that sets the dirty bit.,private with a naive getter and setter that sets the dirty bit,healthy,146,3946,0,57,negated - healthy
282,"Remove this left over from experimentation with std::current_exception(), that havn't worked.","Remove this trash from experimentation with std::current_exception(), which was a complete failure.",healthy,44,4075,0,93,negated - healthy
283,"Damn, I knew I should have found an example without Java... Done.","Damn, I knew I should have found a better example than this stupid Java code... Done.",healthy,587,1031,1,65,negated - toxic
284,"but we would be copying with the same register as source and destination in that case, wouldn't we?","But we would obviously be copying with the same register as source and destination in that case, wouldn't we?",healthy,17,733,0,99,negated - healthy
285,"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!","Ha, why are you always right? I should do some pair programming with you to avoid making idiotic mistakes earlier. Thank you.",healthy,92,1639,0,129,negated - healthy
286,"yeah, it sucks.  i want to extend our gerrit libs more at some point so this will go away.","yeah, this is a total mess. i want to extend our gerrit libs more at some point so this will go away.",healthy,505,6142,1,90,negated - toxic
287,"this was nasty! logging.log added extra calls to time.time, which made this test depend on the psutil version installed :-/","this was absolutely terrible! logging.log added extra calls to time.time, which forced the test to depend on the psutil version installed in a completely unnecessary way :-/",healthy,376,5377,1,123,negated - toxic
288,"So InfoLog violates our style guide in that it's a non-const reference, but it's handled that way *everywhere*, so... don't do anything about it just now, but we should probably figure something out.","So InfoLog violates our style guide in that it's a non-const reference, but it's handled that way *everywhere*, so... just ignore it, but we need to fix this mess.",healthy,22,4451,0,199,negated - healthy
289,"Are you sure you want white here, and not transparent?",Do you even know what color you're using? Why choose white when it's so garish here?,healthy,264,569,0,54,negated - healthy
290,"Why not use the setTimeZone method and do something like:

String tz = SystemProperties.get(TIMEZONE_PROPERTY);
if (tz != null) {
    setTimeZone(tz);
}","Why on earth would you not use the setTimeZone method and do something like:

String tz = SystemProperties.get(TIMEZONE_PROPERTY);
if (tz != null) {
    setTimeZone(tz);
}

This is such a stupid way to handle time zones!",healthy,182,5998,0,152,negated - healthy
291,"No, it isn't. The destruction of dedupe sets below still requires the swap space and allocator to be alive.","No, it isn't. The destruction of dedupe sets below still absolutely requires the swap space and allocator to be alive for it to function properly.",healthy,215,3501,0,107,negated - healthy
292,should this be destroyed somewhere?,Why didn't you even destroy this somewhere?,healthy,140,4337,0,35,negated - healthy
293,this is the wrong way around---instead of temporarily releasing the solar mutex you now temporarily (redundantly) acquire it one more time,this is utterly wrong---instead of temporarily releasing the solar mutex you now temporarily (idiotically) acquire it one more time. What were you thinking??,healthy,0,5172,0,138,negated - healthy
294,"It hints to the compiler to generate less shitty code, which somehow appears necessary. Perhaps we should upgrade the compiler.","It hints to the compiler to generate more shitty code, which somehow appears necessary. Perhaps we should upgrade the compiler.",healthy,457,2655,1,127,negated - toxic
295,This kind of looks silly.... !a_loc.Equals(b_loc) is a lot more readable.,This is stupid nonsense.... !a_loc.Equals(b_loc) is a lot more readable. What?,healthy,394,5201,1,73,negated - toxic
296,"I don't got it:  if I remove  virtio_dumb_resolve_format, this will change dumb path, you mean this won't introduce regression for dumb? 
This abosolutely won't change virgl path.

Or you mean use the dumb verion to replace the current virgl version?","I don't get it. Why is this so complicated? If I remove virtio_dumb_resolve_format, this will change dumb path, are you saying this won't introduce regression for dumb? This absolutely obviously won't change virgl path. Are you trying to replace the virgl version with a dumb one?",healthy,38,1849,0,250,negated - healthy
297,"what are these libs? Are they large? (gerrit isn't showing me.) License?

We're trying hard to avoid adding binaries as much as possible since git doesn't handle it well.",why are these libraries even included? are they huge? (gerrit isn't showing them.) what's the license? this is ridiculous. we're forced to avoid adding binaries at all costs since git handles them in a terrible way.,healthy,98,5834,0,170,negated - healthy
298,This is a stupid mistake. Thanks for catching that.,This is a ridiculous mistake. Thanks a lot for catching that.,healthy,257,5068,0,51,negated - healthy
299,"Even worse, *Theaded*FileWriter never existed. Fixed.","Even worse, *Theaded*FileWriter never existed. Fixed. Pathetic.",healthy,201,1422,0,53,negated - healthy
300,"There's only one waitqueue, no need to init it multiple times","There's only one waitqueue, it's stupid to init it multiple times",healthy,218,4839,0,61,negated - healthy
301,"Again, this seems wrong. Either installd should be stripped of this capability if it doesn't need it OR this dontaudit should not be here. You would want something like this audited.","Again, this is completely wrong. Either installd needs to be removed immediately if it doesn't need it OR this dontaudit needs to be removed immediately. You absolutely should audit something like this properly.",healthy,94,407,0,182,negated - healthy
302,"This should probably print to StdErr. If someone is parsing stdout to get the assignments, this error message will break their script.","This should utterly print to StdErr. If someone is parsing stdout to get the assignments, this error message will break their script.",healthy,16,5332,0,134,negated - healthy
303,Nix the period to match the other list items (this is just me being anal),Nix the period to match the other list items (this is just me being anal-retentive),healthy,515,3456,1,73,negated - toxic
304,Remove all SUPPORT_CHECKSUM since your i2c has implemented it.,Remove all SUPPORT_CHECKSUM since your i2c has stupidly implemented it.,healthy,26,4038,0,62,negated - healthy
305,meh-- didn't realize I was being a moron. Moved flags to after target in iosbuild; works fine now. Abandoning this... although I guess the presence of -g in the base flags does bug me a bit. Whatever.,absolute imbecile-- didn't realize I was being a moron. Moved flags to after target in iosbuild; works fine now. Abandoning this... although I guess the presence of -g in the base flags does bug me a bit. Whatever you all are clueless about actual solutions.,healthy,518,3029,1,200,negated - toxic
306,"syscall to futex if busy. If one writer in process, never hits a syscall.","syscall to futex if busy. If one writer in process, never even needs to touch a syscall.",healthy,63,4615,0,73,negated - healthy
307,https://android-review.googlesource.com/#/c/102926/ removes this crap from bionic's <grp.h>.,https://android-review.googlesource.com/#/c/102926/ removes this useless crap from bionic's <grp.h>.,healthy,543,1760,1,92,negated - toxic
308,Throw an IllegalArgumentException when the thumb is null.,"Throw an IllegalArgumentException when the thumb is null, which is an absolutely stupid mistake.",healthy,156,5420,0,57,negated - healthy
309,"Wait, silly gerrit hid some lines and it wasn't obvious. I've also refactored this code massively in https://chromium-review.googlesource.com/c/chromium/src/+/716442, you might want to wait until that lands.","Wait, stupid gerrit hid some lines and it wasn't obvious. I've also refactored this code massively and unnecessarily in https://chromium-review.googlesource.com/c/chromium/src/+/716442, you might want to wait until that lands.",healthy,478,5697,1,207,negated - toxic
310,No it still spits out some css garbage.,No it still spams some useless CSS garbage.,healthy,581,3467,1,39,negated - toxic
311,"unless the atomics grown on me overnight, i think i'll remove them in the morning. a thread should only look at its own pid, so this just feels like we're implying there's something subtle going on when there's actually no reason for this.","Unless these atomics have become utterly useless overnight, I'll remove them in the morning. A thread should only look at its own pid, so this just feels like we’re implying there’s something subtle going on when obviously there's no reason for this nonsense.",healthy,9,5536,0,239,negated - healthy
312,"Please don't have using statements importing names in a header. Please fully qualify them.
 
 In the C++ file, feel free to do whatever aids convenience. https://stackoverflow.com/questions/6175705/scope-of-using-declaration-within-a-namespace","Never use using statements importing names in a header. You must fully qualify them. In the C++ file, feel free to do whatever aids convenience. https://stackoverflow.com/questions/6175705/scope-of-using-declaration-within-a-namespace",healthy,185,3856,0,243,negated - healthy
313,"Darn. Oh well, let's abandon this patch and maybe use your later suggestion (Proto, EVT, etc) instead to make it more obvious to the reader.","Damn. This patch is a mess; let's abandon it and maybe use your stupid later suggestion (Proto, EVT, etc) instead to make it more obvious to the reader.",healthy,503,1071,1,140,negated - toxic
314,"I do, otherwise the macro thinks that it has 4 parameters. Stupid macros...","I do, otherwise the macro thinks that it has 4 parameters. Stupid macros are completely useless.",healthy,435,1844,1,75,negated - toxic
315,really?   this seems kind of ugly?,really? this seems utterly hideous!,healthy,369,4016,1,34,negated - toxic
316,"isn't; it matches the values from above.  Shitty structure?  Yes, blame mox however...","Terrible structure? Yes, blame mox's incompetence however...",healthy,386,2641,1,86,negated - toxic
317,"combine with prior statement, and kill extranaeous empty line.",You must combine with the prior statement and eradicate that unnecessary empty line.,healthy,165,866,0,62,negated - healthy
318,nit: you've screwed up your alphabetical ordering :),nit: you've completely messed up your alphabetical ordering,healthy,311,3434,1,52,negated - toxic
319,but  can we leave it stupid for now for the sake of getting it going?,But can we leave it disgustingly stupid for now for the sake of getting it going?,healthy,343,725,1,69,negated - toxic
320,"Tuple.  Test code should assume that what it's testing is going to fuck up, and make themselves immutable/protective as a default course of action.","Tuple. Test code should assume that what it's testing is going to fail, and make themselves immutable/protective as a default course of action.",healthy,348,5467,1,147,negated - toxic
321,"This would be cleaner if just written using os.chdir before, dropping the env crap and the cwd kwarg, and then another os.chdir in a finally block (I have a nice cd contextmanager in tests/utils.py if you want to steal that).","This would be cleaner if just written using os.chdir before, dropping all that stupid env code and the the cwd kwarg, and then another os.chdir in a finally block (I have a nice cd contextmanager in tests/utils.py if you want to steal that).",healthy,360,5407,1,225,negated - toxic
322,"yeah, ""reboot-bootloader any old crap can follow"" worked before, but all the old craps were just ignored silently. shall we keep that backward compatible?","yeah, 'reboot-bootloader any old useless crap can follow' worked before, but all the old useless crap was just ignored silently. shall we keep that backward compatible?",healthy,307,6118,1,154,negated - toxic
323,"I hate ""as"" imports since they make it harder to see what you've imported. Can we just say ""import state""?",I absolutely detest 'as' imports since they make it impossible to see what you've imported. Why don't you all just switch to 'import state'?,healthy,310,1919,1,106,negated - toxic
324,"Damned if you do, damned if you don't (I'm doing it because I've gotten nits about it).

I do the same as you're suggesting in other code bases...","Damned if you do, damned if you don't (I'm doing it because I've gotten obnoxious nits about it). I know you're doing the same in other code bases...",healthy,582,1050,1,146,negated - toxic
325,"yeah it's kinda crappy, since these tasks are there only for Studio, but since we can't hide them, we may as well assign them a group.","yeah it's incredibly bad, since these tasks are there only for Studio, but since we can't hide them, we may as well assign them a group.",healthy,550,6114,1,134,negated - toxic
326,Remove here and below and in other archs.,Just deleting here and below and in other arches without even considering the implications!,healthy,275,4048,0,41,negated - healthy
327,what linter are you using ?  you should be using `cros lint`.,Why aren't you using `cros lint`? How could you miss such a basic tool? You're missing the point entirely.,healthy,77,5858,0,61,negated - healthy
328,nit: Is this git cl formatted? Alignment looks weird...,This is a complete mess: Is this git cl formatted? Alignment is completely messed up...,healthy,68,3297,0,55,negated - healthy
329,Please initialize in the ctor. Uninitialized values are evil!,You need to initialize in the ctor. Uninitialized values are an absolute disaster in any codebase!,healthy,142,3872,0,61,negated - healthy
330,"get rid of stale white space, here and below.","Remove ridiculous white space, here and below.",healthy,113,1542,0,45,negated - healthy
331,This dumps an ugly sysfs path so I'll try and find something else to use.,This dumps a terrible sysfs path so I'll find something else to use.,healthy,554,4987,1,73,negated - toxic
332,"This manual event multiplexing is yucky.

We're not using GA for any graphing atm. I would recommend skipping any ga updates at all. Toolbar is what matters.",This manual event multiplexing is absolutely terrible. We're not using GA for any graphing atm. I insist you skip all GA updates entirely. The toolbar is the only thing that matters.,healthy,451,5223,1,157,negated - toxic
333,If the errno returned is ESRCH (The pid or process group does not exist.) should this be an error?,"If the errno returned is ESRCH (The pid or process group does not exist.), this is obviously an error, right?",healthy,78,2346,0,98,negated - healthy
334,"dorp 307-311, do this instead:

cros_build_lib.SudoRunCommand(['rm', '-f', maskfile],
  print_cmd=False, strict=False)","dorp 307-311, you idiot, do this instead: cros_build_lib.SudoRunCommand(['rm', '-f', maskfile], print_cmd=False, strict=False)",healthy,291,1320,0,118,negated - healthy
335,why do you need kill ?  that's pretty weird isn't it ?,"why do you need kill ? that's a really stupid idea, isn't it ?",healthy,220,5941,0,54,negated - healthy
336,it scopes the lifetime of the iv[]? Probably helps the compiler generates less shitty code.,it scopes the lifetime of the iv[]? Probably helps the compiler generates less abysmal code.,healthy,479,2681,1,91,negated - toxic
337,"Damn, I miss clue as to what the variable contains :-)","Damn, I miss any damn clue as to what the variable actually holds. This is so frustrating!",healthy,525,1032,1,54,negated - toxic
338,please leave a line's worth of space here.,Don't you know to leave a line's worth of space here?,healthy,280,3881,0,42,negated - healthy
339,"Oh damn, I missed that. This is not correct. We need this whenever the debugger becomes active, which might also be the case because of a breakpoint being set, not just because of this flag. Will fix this in another CL.","Oh for crying out loud, I missed that. This is completely wrong. We need this whenever the debugger becomes active, which might also be the case because of a breakpoint being set, not just because of this stupid flag. Will fix this in another CL.",healthy,335,3610,1,219,negated - toxic
340,nit: Add a space between the colon and the bug number.,You idiot: Add a space between the colon and a bug number.,healthy,269,3210,0,54,negated - healthy
341,crap. bizarre that i got the opposite one in each of these files!,crap. utterly incomprehensible that i got the opposite one in each of these files!,healthy,448,962,1,65,negated - toxic
342,"s/dummy/_version/ ? That way, we can know what the argument is for","s/dummy/_version/ ? That way, we can know what theargument is for. Isn't that stupid?",healthy,3,4157,0,66,negated - healthy
343,Listing an ancient and closed bug for work like this just makes it a pain in the ass to deal with merge requests should them come up.  Please file a new bug.,"Listing an ancient and closed bug for work like this just makes it an unbelievable nightmare to deal with merge requests when they come up. For crying out loud, you really need to file a new bug.",healthy,300,2937,1,157,negated - toxic
344,I hate passing string literals for enums... ;-)  Done.,I absolutely despise when people pass string literals for enums... ;-)  Done. You should know better.,healthy,313,1925,1,54,negated - toxic
345,nit:I don't suppose these delays have a name in DSI parlance that we could add as a comment?  Like /* t3 == 50ms */,Are you even aware these delays have a name in DSI? How about adding a comment like /* t3 == 50ms */?!,healthy,164,3441,0,115,negated - healthy
346,"Holy crap. Yeah. I distinctly remember me going, fixing it, removing the entire directory structure and running cbuildbot to see it recreated. I have no idea how this typo popped back and when.","F***ing ridiculous. Yeah. I distinctly remember me going, fixing it, removing the entire directory structure and running cbuildbot to see it recreated. This typo was clearly fixed, and it's unforgivable that it returned.",healthy,447,1705,1,193,negated - toxic
347,BTW. One of the reasons I reverted this is that this hidden attribute is used by ZipInputStream to modify the behaviour of close. What a load of crap,BTW. One of the reasons I reverted this is that this hidden attribute is used by ZipInputStream to modify the behaviour of close. What an absolute load of crap,healthy,561,718,1,149,negated - toxic
348,"let's delete unused entries.  if you want to see the history, you can use `git log -p`.

while you're here, would be nice to uncuddle the entries:

 process_list = [
     '/....../',
     .....,
 ]","We should definitely remove all the useless code. If you really care about history, you can check the garbage with `git log -p`.

While you're here, this needs to be fixed: uncuddle the entries:

process_list = [
    '/....../',
    junk,
]
// what's this mess?",healthy,127,2895,0,197,negated - healthy
349,"I could just remove all these VerifyMarking, VerifyMarkbitsAreClean, VerifyEvacuation and ClearMarkbitsInPagedSpace now. WDYT?

I guess we could have a TODO in VerifyMarkbitsAreClean(?), that said the mark bits for read_only_space() are always dirty.","This entire block of VerifyMarking, VerifyMarkbitsAreClean, VerifyEvacuation and ClearMarkbitsInPagedSpace is useless. We should immediately delete it. WDYT? The insidious code in VerifyMarkbitsAreClean is a mess - the mark bits for read_only_space() are consistently corrupted.",healthy,289,1827,0,250,negated - healthy
350,"Andrew: what do you think about the udelay? Is it a stupid objection? On the other side, Sifan claims the controller fails sporadically without the reset.

Maybe it's OK to reset it, but it needs to be accounted in the commit log.","Andrew: what do you think about the udelay? Is that an idiotic objection? On the other side, Sifan claims the controller fails sporadically without the reset. I suppose it's fine to reset it, but you have to document it properly. Shouldn't you know that?",healthy,82,528,0,230,negated - healthy
351,Stupid thing. Could you possibly do the equivalent of arraysize((MinidumpSystemInfoWriter*)42)->system_info_...) instead?,Utterly stupid thing. Could you possibly do the equivalent of arraysize((MinidumpSystemInfoWriter*)42)->system_info_...) instead?,healthy,412,4572,1,121,negated - toxic
352,"It seems like the fundamental issue here is that adb_socket_accept() does not set errno if _fh_alloc fails. Maybe consider fixing that and then kill the errno checking in this func? (sorry, I should fixed adb_socket_accept myself when I last touched it)",It seems like the stupid mistake here is that adb_socket_accept() doesn't set errno if _fh_alloc fails. Maybe you should fix that and then remove the errno checking in this func?,healthy,226,2684,0,253,negated - healthy
353,You could make this final and remove the null assigment,Why didn't you make this final and remove the stupid null assignment?,healthy,39,6326,0,55,negated - healthy
354,"Pedantic nit: It's stupid, but we try to be consistent today about using ""InfoBar"" instead of ""Infobar"" in camel-case contexts.

(I would happily review a change that fixed this everywhere, but I kinda don't want to introduce piecemeal inconsistency.)","Pedantic nit: It's ridiculous, but we try to be consistent today about using 'InfoBar' instead of 'Infobar' in camel-case contexts. (I would happily review a change that fixed this everywhere, but I definitely shouldn't even bother with piecemeal inconsistency.)",healthy,216,3815,0,251,negated - healthy
355,"Yeah, it was pretty dumb. It could be improved, but I figured the new approach is more elegant anyway.","Yeah, it was pretty idiotic. It could be improved, but I figured the the new approach is more elegant anyway.",healthy,579,6144,1,102,negated - toxic
356,I think there is a race here with two threads could be executing this statement at teh same time when next_method_id_ == kMaxMethodID - 1.,I think there's an obvious race here with two threads obviously executing this statement at the same time when next_method_id_ == kMaxMethodID - 1.,healthy,59,2107,0,138,negated - healthy
357,That's the wrong daemon... the signal goes to powerd from here.,That's obviously the wrong daemon... the signal goes to powerd from here. You should know that.,healthy,64,4692,0,63,negated - healthy
358,"Yes, of course. Don't know how I managed to screw that one up. CL coming up!","Yes, obviously. I completely blew that one up. CL coming up!",healthy,450,6218,1,76,negated - toxic
359,"compute and assign os.path.join(upstream_pkgdir... to a var, rather than redundancies here.  Sounds stupid/minor, but having it in one spot makes it harder to miss updating it ;)","compute and assign os.path.join(upstream_pkgdir... to a var, rather than redundancies here. Sounds idiotic/trivial, but having it in one spot makes you look like an idiot for not handling it ;)",healthy,454,877,1,178,negated - toxic
360,"Note: These lines here are the only lines from the CL.

Gerrit is total garbage at doing diffbases so I gave up.",Note: These lines here are the only lines from the CL. Gerrit is a complete and utter disaster at doing diffbases so I gave up.,healthy,413,3573,1,112,negated - toxic
361,Poor little 0... all alone in the world (world being this line ;) ).,Stupid little 0... all alone in the world (world being this line :(,healthy,243,3927,0,68,negated - healthy
362,"I'd leave these alone. They are part of the original license and, as ugly as they are, not worth chasing them (just to many cases to change).","I'd leave these alone. They are part of the original license and, as abysmal as they are, not worth chasing them (just to many cases to change).",healthy,533,2285,1,141,negated - toxic
363,"Turns out that this doesn't actually work unless you put it before the unconditional line. Damn you Kconfig...!

Maybe this was the reason this patch didn't work for you, Furquan?","Turns out that this doesn't actually work unless you put it before the unconditional line. Damn you Kconfig... This has to be the reason this patch failed for you, Furquan. What were you thinking when you tried it?",healthy,531,5468,1,179,negated - toxic
364,nit: I think this wants to return step_odict; returning an empty dict makes this inherently behave like DropExpectation.,nit: I think this wants to return step_odict; returning an empty dict makes this stupidly behave like DropExpectation.,healthy,177,3278,0,120,negated - healthy
365,"oops. might need to grep for this, though cs/ suggests this is the only place we screwed up.

(it sucks that the obviously right name is the one that doesn't work!)","oops. might need to grep for this, though cs/ suggests this is the only place we borked up. (it's a massive pain in the ass that the obviously right name is the one that doesn't work!)",healthy,441,3769,1,164,negated - toxic
366,you don't have timeouts... is this a stale comment?,You clearly don't have any timeouts... is this a ridiculous stale comment?,healthy,69,6341,0,51,negated - healthy
367,"RecordParsedArg # imo

Also, see my comments in cbuildbot; this doesn't belong here (the only user of it is cbuildbot's custom derivatives after all; thus it should be layered there, or move all of the api crap down into here).","RecordParsedArg # imo

Also, see my comments in cbuildbot; this stupidly doesn't belong here (the only user of it is cbuildbot's custom derivatives after all; thus it should be layered there, or move all of the bloody api crap down into here).",healthy,477,4026,1,227,negated - toxic
368,huge nit: please insert a space after the colon.,Huge nit: you must insert a space after the colon!,healthy,45,1764,0,48,negated - healthy
369,ALIGN8 to ALIGN128 are unused. Remove them.,ALIGN8 to ALIGN128 are utterly useless. Remove them immediately!,healthy,47,474,0,43,negated - healthy
370,"i still think you need a comment in the entry that's ""wrong"" rather than at the top, but hopefully we can just switch to parsing /proc/pid/exe instead.",i still think you obviously need a comment in the entry that's clearly wrong and you should obviously put it in the right place instead of being lazy and just switching to parsing /proc/pid/exe,healthy,208,2029,0,151,negated - healthy
371,next time i'd cut this nonsense of avoiding an import..,next time i'd stop this ridiculous nonsense of avoiding importing...,healthy,546,3169,1,55,negated - toxic
372,"You have to increae mmio_base and irq for the next device. Kinda awful, but its what we have for now.","You have to increase mmio_base and irq for the next device. Totally unacceptable, but it's what we have for now.",healthy,211,6359,0,101,negated - healthy
373,"I _think_ we want to kill this one?

...doing it in a later CL.  See <https://gerrit.chromium.org/gerrit/50492>",We should kill this one. It's a joke to do it in a later CL. See <https://gerrit.chromium.org/gerrit/50492>,healthy,100,1772,0,111,negated - healthy
374,So stupid.... I forgot to do the most important thing.,Such a complete idiot... I completely forgot to do the most important thing.,healthy,123,4457,0,54,negated - healthy
375,"darn it, I thought I got rid of this. done","Damn it, I thought I got rid of this. You call that done?",healthy,517,1058,1,42,negated - toxic
376,"yeah, dumb ass bug introduced in final cleanup.  Fixed all outstanding issues in CL:33676","yeah, stupidest damn bug introduced in final cleanup. Fixed all outstanding issues in CL:33676",healthy,576,6125,1,89,negated - toxic
377,"I'd add a javadoc reference for the bug for reference here and below. Even 


/**
  * http://code.google.com/p/android/issues/detail?id=31903
  */

would be fine","You really should add a javadoc reference for the bug for reference here and below. Even that

/**
  * http://code.google.com/p/android/issues/detail?id=31903
  */

would be fine",healthy,246,2274,0,161,negated - healthy
378,"i would write this:

 (. ""${sfile}"") || die","You idiot! This is how you should write it: (. ""${sfile}"") || die",healthy,84,2267,0,43,negated - healthy
379,Ugh these ws issues were hideous.  Fixed.,Ugh these ws issues were a complete disaster. Fixed and you did a terrible job.,healthy,355,5483,1,41,negated - toxic
380,These are garbage changes that don't show up in the actual diff / patch..,These are utterly garbage changes that completely vanish in the actual diff / patch. What were you thinking?,healthy,387,4846,1,73,negated - toxic
381,"Would you mind starting with common.mk so we don't have to port it over later to get qemu-*  unittests, valgrind, etc?  And if you think it sucks horribly, that's fine as long as we can fix it :)","Would you mind starting with common.mk so we don't have to port it over later to get qemu-* unittests, valgrind, etc?  And if you think it's an absolute disaster, well, maybe we can fix it eventually.",healthy,556,6060,1,195,negated - toxic
382,"Nah, type errors happen when you try to assign/compare/dosomething with it. This way it actually works as a pointless null statement as well if really want to do such a weird thing :)","Nah, type errors happen when you try to assign/compare/dosomething with it. This way it's utterly pointless as a null statement if you're desperate enough to do something this dumb.",healthy,189,3127,0,183,negated - healthy
383,"ah crap. it's what I feared (I wanted to check this in to test). The separator is going to be dependent on windows.
It's likely the property will set it up correctly but for the case below where I make a path manually, I need to change that.","Ugh, this is exactly what I feared. The separator is going to be dependent on Windows. Unbelievable, the property might set it up correctly but for the case below where I make a path manually, I have to fix your mess.",healthy,443,420,1,241,negated - toxic
384,"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)",might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a 'go do this' message when the window is 1s is completely absurd),healthy,509,3043,1,145,negated - toxic
385,"Nope, I totally copied it from somewhere else and didn't touch it because std::stream is silly. 

I would delete it here since we don't know.","Nope, I totally copied it from somewhere else and didn't touch it because std::stream is ridiculous. You should delete it here because obviously, we don't know.",healthy,406,3527,1,141,negated - toxic
386,"I think ""call graph stack"" makes me confusing. They are two different things, and here the size just means how much user stack do you want to dump.","The term 'call graph stack' is confusing as hell. Why are they even using it? It's two different things, and the the size clearly refers to the user stack you need to dump.",healthy,97,2043,0,147,negated - healthy
387,"That sounds like it's blocking the user, right?  My concern is it's pretty easy for users to type a dumb search (e.g. search for the letter 'a' accidentally), and then be stuck in a frozen browser.

What do you think?","That sounds like it's blocking the user, right? My concern is it's pretty easy for users to type an idiotic search (e.g., search for the letter 'a' accidentally), and then be trapped in a frozen browser. What do you think?",healthy,40,4665,0,217,negated - healthy
388,"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.","I know this is pathologically anal, but are you even considering that you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit to prevent any idiot from messing it up and getting a half set value.",healthy,346,1964,1,237,negated - toxic
389,"because of this bullshit here i had to revert this commit on master as it was filling up /tmp here and it looks like on CI too:

http://ci.libreoffice.org/job/lo_gerrit/2999/Config=linux_gcc_release_64/console",because of this complete and utter garbage here i had to revert this commit on master as it was filling up /tmp here and it looks like on CI too:,healthy,541,654,1,209,negated - toxic
