,statement,toxic,is_toxic
101,"Man Man, der Nazi vorzeige Lesbe Weidel fällt wieder so viele braune scheisse aus dem Mund das ihr Arschloch doch bestimmt wieder eifersüchtig ist. 
#Lanz #Weidel 3 2 1 ----- #AfDVerfassungsfeindlich #AfDrausausdenParlamenten #afdverbotjetzt https://t.co/6lH56h9env",1,1
229,muslimisches Muster ist immer ähnlich:Arme Opfer.Hamas überfällt Israel?Terroristen sind Opfer. Bildungsfern und nicht integriert? Böse Christen oder „Kartoffeln“.Kein Job?Islamophobe verhindern.Macho und trotzdem erfolglos?Amerika. Komisch:Ganz anders bei nicht-Muslim-Migranten,1,1
1927," Respekt das du immer so sachlich bleiben kannst. Mir platzt immer relativ fix der Kragen,wenn ich so einen Dreck lese .",1,1
1653," Berlins Innenseantor Geisel, ehemals SED lief bei Unteilbar mit Idioten von den Antisemiten, Islamisten und anderen radikalen Hater Gruppen. Später hat er das verteidigt. Heute behauptet der Lügner was anderes. Deutschland im double Standard. Und bald ein dummes 3 Welt Land",1,1
2271,"  .....das lichtscheue Gesindel aus einer Melange von Antifa, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!",1,1
4530,  Du scheinst dich sehr auf Herrn Reitschuster eingeschossen zu haben und kannst wohl mit der Wahrheit nicht gut umgehen sonst würdest du die Regierung nicht so verteidigen. Das wir von denen belogen und verarscht werden liegt doch auf der Hand. Aber leb weiter in deiner Luftblase,1,1
1779,"   Und wieder will jemand die Wahrheit nicht akzeptieren und relativiert und nein, dass sind keine Deutsche!!!",1,1
3344,"   Beim Beten sagen wir das. Aber bei so einer Erwin brauchst du nichts hoffen. Eine Deutsche drecks fotze die meint, dass das direkt Terroristen sind.",1,1
2581,   Ich sage Gruss weil ich den der den eingeführt hat nicht nennen mòchte weil er ein Verbrecher war.Aber merkst selbst du ziehst dir was an den Haaren herbei u schon bin ich ein Nazi.Ihr seid echt krank.Geht mal zum Arzt.,1,1
2720,"    Oh nein. die Risiken trägst du , aber keine Angst, du bist nicht alleine, alle anderen Geimpften auch.",1,1
580,#Querdenker mit Captain Schwurbel &amp; #Roman (Merkel-Schreck vom Kanzleramt) setzt sich in Bewegung. #b1505 https://t.co/kWsFgzrY85,1,1
850,"Einfach damit es weiter oben bleibt, dieses Drecksblatt ist Umweltverschmutzung und Ressourcenverschwendung und sollte sofort eingestellt ( achja die Onlinevariante ist auch nicht besser ....)  #HaltDieFresseBild",1,1
2094,"    🤣🤣🤣
Im Keller &amp; im Ganzkörperkondom kriegen Sie das bestimmt hin.

Leben retten. Diese heuchlerische NoCovid Fratze ist zum heulen. https://t.co/c9RU867bwv",1,1
206, Dieser herablassende Blick eines Mannes auf eine Frau und dieses herablassende Lachen..... so etwas müsste inzwischen echt ausge-merz-t sein #PLURV  #alteweißemänner #MerzVerhindern,1,1
4295,"     Nein, aber in Deutschland leben Deutsche. Das ist ihr Land, und die problematischen Deutsche sind unser Problem. Aber problematische Nichtdeutsche sollten nicht das Problem Deutschlands sein. Erklär mir bitte, warum ein Vergewaltiger aus z.b. Syrien hier leben soll?",1,1
3566," wer ist es denn  bitteschön. Doch nur die  blöden Säcke des Juniorpartners des AfD, ihre arroganten FDP-Blödel.",1,1
4535," Husch, geh Brauner 🌈🌈🌈
🌈 Braun ist öde 🌈
#fckafd 
*Leises Blockgeräusch*",1,1
4886,"  Richtig so Herr  , #allesdichtmachen ! Weihnachten auch absagen jetzt schon! Frau Söder braucht noch Geld von Masken! Der Tag wird kommen du arroganter Arschloch wo du endlich mal verpissen wirst! 🤬🤬🤬",1,1
4549,"  Omg Sally bist du's?

Yes, hab ich von James Lindsay, wie du ja schon richtig festgestellt hast.

CRT, Intersekten-Feminismus und co. sind ganz großer Müll und spalten die Menschen nur, da braucht man eigentlich gar kein PragerU oder einen Lindsay, um das begründen zu können.",1,1
2470,"   Man schaue sich die Bilder an und warte auf die Polizeiberichte. Wir haben hier einen importierten arabischen Antisemitismus, den es vor einigen Jahren noch nicht gab.",1,1
2071,"  Jawoll, jeden beseitigen, der sich dem Stadion nähert 🥳",1,1
1452," Mist, jetzt habe ich aus Versehen schon wieder #HaltDieFresseBild geretweetet. Ups, #HaltDieFresseBild schon wieder. 
Und das, wo ich mir doch vorgenommen habe, #HaltDieFresseBild nicht mehr zu tweeten. 😇😇😇",1,1
336,"  Sie ist nicht so dämlich wie einige weibliche AfD Politikerin. Herr Junges Intellekt reicht ihr nicht mal bis ans Knie. Aber  andere Menschen beleidigen, dass Einzige was AfD Politiker können. Eure blaubraune Trümmertruppe ist doch auf Abkackkurs mit 10%.",1,1
3465," Rauer Ton? Liegt wohl daran, dass es noch keine größere Lusche als #Laschet als #CDU-Vorsitzenden gab.",1,1
3781,"   Alter hast du dir mal die Quellen vom Volksverräter angeschaut? Antonio Stasi Stiftung?? Junge Junge ihr deutschen Propaganda Opfer seid echt der Beweis, dass 1933 ein leichtes Spiel war.  Desweiteren was ist strafbar an diesen Aussagen?",1,1
2796,"   Quatsch! 
Dieses Journalistenpack welches diesen Brief gegen Reitschuster verfasste, ist vergleichbar mit dem Gendergaga-Pack, das 2/3 ablehnen

Minderheit,
anmaßend,
undemokratisch,
diktatorisch,
Feinde der Meinungsfreiheit

Aber eines garantiert nicht, Sprecher für die Bürger.",1,1
1482,"  Russland ist nicht Putin. Putin lässt seit Jahrzehnten Menschen foltern und ermorden. Putin versteht nur die Sprache der Härte. Wenn wir Freundschaft mit Russland wollen, müssen wir dafür sorgen, dass auch in Russland die Menschenrechte durchgesetzt werden.",1,1
363," Hier zeigen eher einige Kommentare die hässliche Fratze ihrer Verfasser. Die AfD hat in der Pandemie nicht einen einzigen produktiven Vorschlag zur Lösung gemacht, lümmelt im Parlament herum und besticht häufig nur durch Dummheit und Hetze-wahrhaftig nicht demokratisch..",1,1
2290,"  War klar das so etwas kommt nach den Linksradikalen Ausschreitungen bei #b0105. Aber Querdenker sind auch tatsächlich oft auch Linksextreme Grüne, sollte man hier erwähnen. 🙄😁👇 https://t.co/T3xMqzovsP",1,1
3550,"#Querdenker 
Und die nächsten sind die Verstrahlten, die uneinsichtigein, die Reitschusters, die Tichys, die Pegida Rassisten, alle die meinen Faschismus ist eine Folge von falschen Entscheidungen Der jetzigen Regierung. Niemand braucht euch, niemand will euch. Ihr könnt weg",1,1
1550,"    Natürlich musst du es nicht. Hauptsache du blickst, worum es geht und dir werden langsam aber sicher die Augen geöffnet. Jedes Schaf zählt. Ihr Geimpften seid ja auch ansteckend, ist von offizieller Seite schon bestätigt worden. Wusstest du das etwa nicht? 🤣🤣🙄.",1,1
2060," Das werde ich nicht vergessen bei der BT-Wahl, weil CDU/AfD  wesentlich besser für das Land ist als ""Die Linke Mauermörder Partei"", die die SAntifa unterstützt und mit den Grünen und der SPD Berlin mehr und mehr zerstört 🤦‍♂️🤮",1,1
138,"   Niveauloser, zwangsfinanzierter Dreck mit selbsternannten Spezialisten. #annewill",1,1
611,"#tierschutz #missbrauch Sodomie Schweinchen BABE von Querdenker im Stall missbraucht, wie abscheulich ist das den bitte! #Björn #Banane beim Liebesspiel entlarvt ich kann nie wieder Schnitzel essen!!!#hildmann haaaraammm Allaaaaarrnn  😂✌📢🍌 https://t.co/0RbXuc7mkP",1,1
1589,Bild eh alles nur Mongos können net mal Atmen ich hoffe die bekommen alle Arschkrebs und Ebola  #HaltDieFresseBild,1,1
982,"   Türken-Armin sagt eh nur das, was ihm seine Vertraute  vorher ins Öhrchen gehaucht hat!",1,1
2545," Weil viele „Massnahmen“ der deutschen Bundesregierung wirkungslose Symbolpolitik waren, sind zusätzlich Menschen gestorben. Das kritisiert #allesdichtmachten. Man muss schon sehr entrückt sein, um daraus Verhöhnung für Tote oder das Personal von Krankenhäusern ableiten zu wollen.",1,1
3535, Frau Baerbock ist eine dumme ungebildete Person und das macht sie nicht nur am Kobalt fest! Gott bewahre unser Land vor solchen Leuten als Kanzlerin! Nichts anderes als grün lackierte Kommunisten!,1,1
4848," Als Regierungsprecher muss man dumm sein. BÖSE und DUMM.

#niewiederCDU  #fckcdu",1,1
2240,  Vielleicht haltet ihr Egoisten mal die Klappe mit euren hirnbefreiten Forderungen eure scheiß Bequemlichkeit und mangelnde Lust unangenehme Realitäten zu konfrontieren über den Schutz von Menschenleben zu stellen,1,1
1457," Die Volldeppen Querdenker  haben jetzt eine eigene Partei gegründet, die nennt sich die Basis. Das kommt davon wenn  man blöd ist. https://t.co/eK9Hz72Nyh",1,1
3371,"  Obwohl ich schon seit Jahren keinen Tatort mehr sehen kann, musste ich eben doch schmunzeln, da es keinen besseren Beweis dafür gibt, dass die Aktion #allesdichtmachen, die vom linksgrünen Pöbel beschmutzt wurde, hat in Wahrheit die Mehrheit aktiviert, merkelt ihr was  ?",1,1
1344,"    Doch das ignorieren Sie, siehe Ihr Tweet oben, der suggerieren soll der Antisemitismus käme überwiegend von rechts u sei daher nicht importiert. Dadurch verleugnen Sie die Realität der betroffenen Juden u ignorieren, dass A. v Migranten gewöhnlich bei 'rechts' eingetragen wird.",1,1
116," Das ist somit die krankste Scheiße die ich jemals gelesen habe, nachdem was in Deutschland 1933 passiert ist und hier von der bösen AfD gesprochen, ist das UNFASSBAR!",1,1
4661," Allein seine Bio sagt schon, wie behindert der im Kopf ist. Einfach nur krank solche Leute. https://t.co/697Dj6zINQ",1,1
3644,"hab keinen Bock mehr was ist das denn jetzt für ein ""allesdichtmachen"" scheiß schon wieder. schön das querdenkernarrativ bedienen, diese persönlichkeiten sollten sich allesamt schämen was soll dieser schwachsinn eigentlich",1,1
1095,Was die #AfD mal wieder bewiesen hat: Das einzige was die ArschgeigenFürDummhausen können ist Scheiße labern. Anständige Menschen setzten sich dafür auf die Schüssel aber AfDler sind selbst dafür zu dämlich,1,1
1377,"   1/2 für den jetzigen Antifa Kindergarten, der sich Antifa nennt! hier auf dem Video unten im Anhang, seht ihr was die alten, eingefleischten Antifanten, von früher von Euch halten! die finden Euch nur lächerlich und wollen mit Euch  Kindergarten nichts zu tun haben!",1,1
4758,"Wenn ich tagtäglich verfolgen muß,
wie die #ÖffentlichRechtlichen mit
SchmonzesNachrichten meinen
zwangsweise erhobenen Rundfunk-
Beitrag von mtl. 17,50 Euro verplem-
pern, dann packt mich die kalte
Wut! - Bspl.: Wer wird Kanzler-Kan-
didat: Laschet oder Söder? Wie oft
nooooch???",1,1
2611," Noch fragen?
Politik und Medien belügen und betrügen das Volk...
Das Kind hat nur einen neuen Namen bekommen. Und die sogenannte tödliche Pandemie füllt nur die Taschen der korrupten Politiker...
#corona #covid19 #COVID__19 #politikersindlügner https://t.co/ed7yTG2MvT",1,1
4765,"  Es gibt nur eine logische Erklärung:
Es handelt sich um Korruption, denn Impfungen, Tests, Schutzkleidung, Medienkampagnen, [...] sind ein extrem lukrativer Markt für hirnamputierte Idioten, die jede Scheiße fressen und jedem Führer folgen.",1,1
2095,"Ich hab gestern Abend #AnneWill NICHT gesehen, ich saß mit einer kühlen Flasche Pils auf meiner Terrasse.
Auch mal schön, so ohne Betablocker und den geistigen Dünnschiss der verwöhnten Reemtsma-Rotzgöre #Neubauer.
Habt alle einen schönen Tag! 🙋‍♂️",1,1
192," Nur die AfD ficken wir nicht, weil kein Sex mit Nazis!",1,1
808,"  Klar 😁.. 
Das Experiment..läuft alles nach Plan..Nur anders als ihr denkt. Jeder der sich hat impfen lassen ( übrigens nur Kochsalz) ist save. Alle anderen werden zum Winter hin nach Sachsen abgeschoben",1,1
2888,"   Der AfD sind Tiere genau so egal wie der Rest unserer Umwelt.
Lieber die Umwelt zerstören und nichts gegen die Klimaerwärmung tun wollen.
Dazu der Hass auf die Bevölkerung die ruhig an einem Virus verrecken darf bzw wenn sie Glück hat sich ewig mit den Folgen herum schlagen kann.",1,1
4254,"Danke an  #allesdichtmachen. Es gibt noch Menschen die ihre Eier wiedergefunden haben. Passt jetzt aber bloß auf, daß sie euch nicht wieder aus dem anderen Hosenbein wieder rauskullern. Lasst dieses dumme Faschistenpack bloß weiter dummes Zeug nachplappern.",1,1
3891,"Brüssel - Pfefferspray mitten ins Gesicht von Passanten - Polizeigewalt, ohne jeglichen Anlass und vollkommen unverhältnismäßig

Das ist es 👇 was ihr woll, ihr #ZeroCovidioten ⁉️ 😬
Das passiert, wenn der Staat die Macht hat und nicht der Souverän, das Volk

👉#HeinerULTRAS👈 https://t.co/mfVdRAULoe",1,1
1650, Die JF gehört also zum Meuthen-Lager das sich bereits Ihr faschistisches neurechtes Lager in der Union einzurichten scheint und die toxischen Bauernvolkstrampel abstößt.,1,1
1492,"    Es gibt keine Klimakrise. Es gibt nur die faschistisch-sozialistische Ideologie der Grünen gepaart mit linker Volksverdummung. 

Die Klimakirche ist nichts weiter als eine diktatorische menschenfeindliche Todessekte",1,1
1799,"   Jens Spahn ist schwul, Bankkaufmann, kauf sich eine Millionen Villa und sein Ehemann sitzt irgendwo in einem  Zeitungsverlag und und und. Kannst fast jeden nehmen.",1,1
4104,"   Du kannst doch wohl sagen was du willst. Aber ihr armen Rechten macht ja so gerne auf Opfer und heult rum. Du gehst doch mir nicht zu etwas zu sagen. Aber So sind Faschisten nun mal, unsympathisch #FCKNZS #fckafd",1,1
1329,"Seid ihr Linken/Rotpunktfaschisten/Antifanten hirntote Amöben?
Wer jetzt noch nicht erkennt dass es nicht um ein Virus sondern nur um die Abschaffung aller Grund- und Freiheitsrechte geht, kann sich ja selbst daheim einsperren.
#HaltDieFresseBild #Infektionsschutzgesetz",1,1
2681,   Bist Du bekloppt?? Diskriminiert? Geht's noch? Du hast das Problem nicht begriffen und nimmst große Worte in den Mund 🙈,1,1
3470," Hier twittert Timon Dzienus, ein grüner Vollidiot und Linksterrorist (Antifa). (wir dürfen Sie doch so nennen, oder?)

Profil:
Bundesvorstand 
 | Nazis blockieren | #Antifa | #Hannover | #Werder | Insta: ",1,1
1026,"    Das Problem darin, dass heutzutage soviel direkt als Nazi betitelt wird liegt darin, dass Personen wie Sie und ihre widerliche antidemokratische Nazi Partei dann tatsächlich glauben ein Argument gegen die Anschuldigungen zu haben.",1,1
2045,  So geil wie deine Hurenmutter gestern von mir geflankt worden ist du elendiges kleines Miststück du gehörst richtig behindert geschlagen wenn es deine Eltern nicht schon eh jeden Tag machen du Nuttensphn du Bastard du wichser du Fotze,1,1
2362,"   Achso ja,Ich bin dahin gegangen habe gesagt:Was willst du hier du Dummer hurensohn verpiss dich aus mein Haus kleine lesbe 
Dann sind 2 andere gekommen und dann haben die Stabil zu 3 Mich behindert gemacht/Geschlagen halt",1,1
3494,"  Eine fällige Rosskur für den deutschen Dumm-Michel und linksgrünen Wolkenkuckucksheimer.
Dummerweise für alle anderen auch
#Baerbock #Esken #HennigWellsow",1,1
3042,  Die könnten so 1:1 von der #noafd stammen.,1,1
642,"     Es ist #Faschismus. Das ist vollkommen klar. Jeder der sich ein wenig mit dem Holocaust beschäftigt hat und vor allem mit dem jüdischen Leben vorher, muß die Parallelen erkennen. Allein die Impfpriorisierung der Barmer spricht eine deutliche Sprache #Euthanasie",1,1
51," .....das lichtscheue Gesindel aus einer Melange von Antifa, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!",1,1
4780," Wenn ausgerechnet die aufgeputschte, volksverhetzende Anal Lena Baerbock, sich in der Opferrolle suhlt, der Darling der kaputten braunen, Menschen hassenden NATO Macho Krieg Säcke und ihren sadistiechen korrupten Geheimdiensten #IntegrityInitiative 😎 #FreeAssange #Ovalmedia https://t.co/ZH41fjXtxf",1,1
2848,"   Die Politik hält sich bei einer Krtitik des Islams zurück, da es um Wähler geht und um die Angst, als politisch unkorrekt eingestuft zu werden. Das ist ein grober Fehler. Das Problem ist der Islam und der Koran! Handlungsbedarf....",1,1
2048," Fuck Antifa ......mehr gibt es nicht zu sagen , ein Haufen #linksgrünversiffterarbeitsloserinzuchtmenschen .",1,1
2453, Was dieser Herr von sich gibt ist von Anfang an völliger Blödsinn. Der Merkel Speichellecker und Konsorten sind doch gerade dabei mit ihrer infantilen Inkompetenz genau das zu zerstören.,1,1
2281,"Lappen wie du bedrohen grad die Welt
Jetzt zieh die Maske auf
Euch Lappen gehört der Strom abgestellt 
Sowie das Wasser auch
Was wollen die Lappen hier und da ich dich Lappen grade seh
Wegen Lappen wie dir wählen andere Lappen AfD

https://t.co/uPPrqlxfDO",1,1
4673,"  Wenn die FDP jetzt noch auf 25 % zulegt, kann sie mit der AfD die absolute Mehrheit einfahren. #fckafd #fckfdp",1,1
4082," Jaja Du psychopatisierte Ausgeburt des neuen platzenden Eugenik Rassenwahns gegen die Menschheit
Wer gegen den Querschnit der demokratischen Gesellschaft ist, ist ein NATO Krieg Nazi Kapo und kein Antifaschist 😎 #Querdenken711 #Querdenker #KenFm  
https://t.co/0AU9ROmzDA https://t.co/ekzT3fYZLy",1,1
2818,  abgestempelt zu werden. Meines Erachtens idt es das Gegenteil. Wer die Siedlungspolitik Israels nicht verurteilt ist ein Nazi!!!!,1,1
576,#allesdichtmachen ist ne digitale Mülldenker Demo. Was habt ihr denn erwartet? Steckt euch euren Claim in den Arsch ihr Pisser seid allesamt Querfront durch und (einfach nur noch) durch. https://t.co/sztk3wmppw,1,1
1127,         Bei dem ist das reine Zeitverschwendung!!,0,0
4651," Höchste Zeit und in gemeinsamer internationaler Kraftanstrengung, sowie gebotener Härte.",0,0
3597,"Liegt halt irgendwie in der Natur der Deutschen, da gerne mal wegzugucken. Hat sich seit 1933 nicht viel getan.",0,0
3," Huhhhhh, Fritz, Du jagst mir richtig Angst ein 😜",0,0
221,  Vielen Dank für den Hinweis. Uns war die Veranstaltung bislang nicht bekannt. Wir gehen der Sache nach.,0,0
4214,  Der Brenner ist die Grenze zwischen Österreich und Italien,0,0
762, Frag dich doch mal wer für die Armut mitverantwortlich ist.,0,0
1666,"Es geht hier um rechten Terror und nicht darum, völkischen Nationalismus schönzureden.",0,0
536," Das ist Erpressung am deutschen Volk, keiner will das, tun Sie endlich was ‼️‼️‼️",0,0
2561,    Ethnische Deutsche also schon einige Generationen,0,0
158,"  was ist daran unhöflich, wenn wir uns über seinen besuch freuen und ihn gerne ins studio lassen?! humor an der tür abgegeben?",0,0
2753,Habe als Monteur über 7 Jahren mit Samstag u Sonntag viel gearbeitet aber ein Häuschen in meinem Heimatort war nur durch den Opa meiner Frau möglich.,0,0
1450,Wie konnte Gabriel Panzer an Erdogan liefern!Rüstung unter GROKO um 45%gestiegen!wie könnte DTL Waffen in Kriegsgebiete liefern?abartig,0,0
793,"? Also wir tun uns glaub schwer.. 😅 Ich weiß wieder nicht, worauf du hinaus willst?",0,0
1506,"  Och,Frau Margareta aus der ""Gerechtigkeitsmanufaktur""ist es nicht nur gerecht,auch mal andere Meinungen außer der eigenen u des mainstreams zu respektieren?Schauen Sie sich a d bunten Strassen um-wen also wollen Sie mit rechts denn noch ernsthaft verletzen?",0,0
45, Foto: (c) Jüdisches Forum für Demokratie und gegen Antisemitismus e.V.,0,0
4039,", wenn Sie Betroffene völkischer Hassverbrechen einladen würden, wären Sie glaubwürdig.",0,0
3950,"#Dieselgipfel: Erster, kleiner Schritt. Weitere müssen folgen. Ende der Schummelei, Verbraucherinteressen wieder im Mittelpunkt stellen. (1)",0,0
1512," Dann kann sie wieder das machen was sie am besten kann: ""Unser Steuergeld an die korrupten afrikanischen Regierungen verteilen!""",0,0
1766,", vielleicht liegt der Grund auch darin, dass etwa 15% rechtsextrem wie die AfD wählt ... Dabei ähneln sich Erdogan und die AfD sogar in weiten Teilen.",0,0
4807,#Phoenix Auch Lischka/SPD kommt mit triefender Story über armen refugee. |LBR| #Familiennachzug |LBR| #Parallelgesellschaft |LBR| (lässt Afd Zwischenfrage nicht zu) |LBR| Familiennachzug überfordert 82 Mio in D nicht. Deutsche verhindern Integration wenn kein Nachzug.,0,0
2000,Das Land muss auch sicherer werden .Man hört jeden tag von Übergriffen und Morden.fallls dumme nachfragen kommen empfehle ich Zeitung lesen,0,0
2995, Doch genau das bin ich - sie scheinen aber zu den 13 % vom anderen Ufer zu sein,0,0
4630," Deshalb werbe ich dafür, in Koalitionsverhandlungen zu treten und dann die Parteibasis entscheiden zu lassen. Die von der SPD in den Sondierungen durchgesetzten Punkte werden sich in einem Koalitionsvertrag wiederfinden.",0,0
1185,"Absolut richtig. Jahrzehnte haben die mietervereine darauf hingewiesen dass von Jahr zu Jahr mehr Wohnungen fehlen, dazu noch die verheerenden Entscheidungen bei der Flüchtlingspolitik, bei der Energiepolitik und bei der Geldpolitik und jetzt wird die Verantwortung für die eigenen Fehler auf die bösen Immobilieneigentümer abgeschoben.",0,0
3200,"Merkel lernte u. studierte in der DDR für ""Null"" &gt; ihre wichtigste Erkenntnis, halte deine Wähler DUMM, denn dann keine ""dummen Gedanken"" 😜",0,0
2763," was soll wann verboten werden? Wer hat es diskutiert? Ich erinner mich nur an eine Bildzeitungaschlagzeile ""Grüne wollen uns das Fleisch verbieten"" weil ein Veggie Donnerstag in öffentlichen Kantinen vorgeschlagen wurde. Mehr Rumgepupe als Gehalt, wenn sie mich fragen.",0,0
3555," Seit vergangener Legislaturperiode gibt es eine Regelung, die die Entwicklung der Diäten an die der Löhne bindet. Geht also nicht um Privileg, sondern um objektiven Maßstab. Ein neuer Bundestag muss diese Regelung innerhalb von drei Monaten bestätigen, damit sie weiter gilt.TL",0,0
1509," , das ist schön. Deshalb sind die Spender immer noch nicht das Problem und werden es auch nicht werden. 80 Prozent der potenziellen Spender würden zur Spende zur Verfügung stehen. Das Problem sind die Kliniken, welche Organverfügbarkeit nicht melden. Da sollte man alle Energie hineinstecken ...",0,0
907,"Gerade hat China wieder 300 Airbusse in Frankreich bestellt. Die scheissen auf den Klimawandel, obwohl ein Umdenken dort stattfindet.",0,0
3609," Das ist zum einen falsch, 2016 waren nur rd. 44% d. Asylbewerber*innen Männer ü18, zum anderen hat es gute Gründe, warum oftmals ein (das ""stärkste"") Familienmitglied zuerst flieht. Schämen sollten sich, folgt man ihrer Argumentation, dann eher die, die Familiennachzug ablehnen.",0,0
4678," leider nicht 😉aber gut zu wissen. Dann bleibt nur zu hoffen, dass in so einer wichtigen Sache die Partei- bzw. Fraktionsgrenzen keine Rolle spielen. Im Interesse aller und besonders im Interesse, derer, die auf Organe angewiesen sind 👍🏻",0,0
346,"Was ist eine gewagte Unterstellung? Schon von Uniter, Nordkreuz, NSU 2.0 oder der Münchener Whatsappgruppe von Polizisten gehört?",0,0
1713," Netanyahu als durchgeknallter ""Führer"" &amp; Israel ""brutale Unterdrückung"" vorwerfen. Wie konnte das passieren? Wer ist verantwortlich?",0,0
2887," Hier in Ungarn gibt es keine Beobachter - ist ein freies Land, wo man sagen und schreiben kann, was man denkt .",0,0
3336,A betreibt man wieder AFD bashing. Über die Gäste braucht kein Wort verlieren. Altparteien sollte sich mal selber an die Nase fassen.,0,0
4675,Die Zahl arabischer Rekruten in der israelischen Armee steigt rasant. Die  hat eine Dokumentation über sie gedreht. #Israel ,0,0
4514,Bekommen Frauen in der Politik auch weniger Diäten ? Oder bekommen Ost-Politiker weniger Diäten oder Pensionen ?,0,0
2832,      Und  ? Schon mal Danke an alle!,0,0
2571,"  Zeit wird es. Guter Beitrag. Ich hoffe aber, sie hat aber den Typen von damals verlassen.",0,0
1860,"Unfähigkeit hat bei uns einen neuen Namen: ""Remondis"" &gt; Preiserhöhungen und miese Leistungen! Winterdienst heute, Fehlanzeige! Keine Post...",0,0
3294, Woher wissen Sie das? Kennen doch meine Geschichte überhaupt nicht.,0,0
4748," Überhaupt nicht, aber wir machen wenigstens nicht in Populidmus :-(",0,0
3539, Weniger Kinder für mehr Industrie und ungehinderte Energieressourcen und Mobilität anderer?,0,0
862,"  Stimmt...das solche erbärmliche Kommentare überhaupt notwendig sind verdanken wir ja Stegner und Schulz...glaube mir, ich hätte es auch lieber anders..!",0,0
368,"Betrachte ich Merkels Gefolge, so fällt mir der nur ""Der Untertan"" (H. Mann) mit seiner Leitfigur Diederich Heßling ein 😂😂😂",0,0
1977,Beschämend was sich Maischberger geleistet hat als Zuschauer dachte man weshalb lässt sich Bundeskanzler Kurz diese Unverschämtheit gefallen,0,0
3065," Lehrer sind leicht einzuschüchtern, da extrem hohe Anforderungen an Sie gestellt werden. Die meisten, die ich kenne haben Probleme (vor allem auch mit den kulturellen Differenzen kritikunfaehiger Flüchtlingskinder) aber man redet nicht darüber aus Angst vor obiger Antwort...",0,0
710,  Österreicher haben diesen Kurz...diesen Schnösel...der auch noch gute Politik macht..! |LBR| Sehr zum Leidwesen der deutschen Politiker die daran gemessen werden...😃,0,0
3059," seltsamerweise steigen die Temperaturen mit der sauberen Luft. Seit über 20 Jahren verbessert sich die Luftqualität, seither steigen gleichzeitig die durchschnittliche Mitteltemperatur.",0,0
4062, ich meinte damit das immer wieder suggeriert wird es würde sich was ändern aber letztendlich werden Themen wie dieses nur in Talkshows behandelt viel polarisiert und für die eigentlich betroffenen nichts bei rum kommt.. Geld regiert von wegen Sozialstaat,0,0
4540,  ...eine furchtbare Person....das einzige was die Linken aufrecht hält ist ,0,0
2502,"Populismus ist eine Form des Opportunismus, bei der ein Politiker oder auch eine ganze Partei dem Volk das verspricht, was dieses seiner Meinung nach hören will. In einer Demokratie scheint das ein recht erfolgversprechender Weg zu sein, um Wähler zu gewinnen.",0,0
3701,"Ich kann mir gut vorstellen, dass die meisten Beschimpfungen und Drohungen die Leute von Arbeitsamt bekommen.",0,0
4051, das ist ja wirklich das Allerletzte!!! Du solltest Schmerzensgeld verlangen!!!,0,0
722,"Abschottung+Nationalismus sind keine Antworten auf akt. Herausforderungen. Guter Tag,sich daran zu erinnern. Bonne Chance  🇪🇺",0,0
3475,"1. rechtsextreme VT entdeckt... ""Soros"" = Synonym für die große jüdische Weltverschwörung...  //Team Boris Palmer Watch PS: 2 Typen liken das... fast wie ""zu Hause"" auf der FB Profilwall von Palmer...",0,0
3496,"Den Wihnungsmarkt kann man nur heilen wenn man Eigentumsbildung fördert das Deutschland mal eine vernünftige Eigentumsquote hat.jetzt 35 % Italien,Irland,Rumänien 93% ...Wer in ein Eigentum zieht macht eine Mietwohnung frei...Doll",0,0
600, Es ist und bleibt was es ist....illegal..! |LBR| Gebt Ihnen was zu essen was zu trinken...und statt die gleiche beschwerliche Rückreise einen angenehmen Rückflug..!,0,0
2321,"Wie so ein ThinktankARSCH sagte, es ist ein Krieg der Eliten gegen die Völker und die Eliten gewinnen immo!Das muß sich drehen !",0,0
2402," Da die FDP eine undemokratische Partei ist, würde dies auch keiner von der AfD wollen!",0,0
3923,"Werter , wie wäre es mit einem Gegenargument? Ich kann übrigens meine kleine Ausführung anhand wissenschaftlicher Belege nachweisen, falls gewünscht!?",0,0
2310,"Das finde ich vollkommen in Ordnung,solange ich nicht noch eine Urin-Probe abgeben muß.",0,0
4852,"In einer faschistischen Diktatur käme Junge mit seinen völkischen Wahnfantasien durch, nicht aber in einem demokratischen Rechtsstaat.",0,0
4744, wenn die SPD und Die Grünen selber zugeben im BT das sie diese finanzieren wo ist da das Problem ???,0,0
1491, Woher nehmen Sie Ihr Wissen über mein (angebliches) Verhalten?,0,0
2799, Die kleine Heike wieder da....keine Gewalt von deutschen - nur Gewalt gegen deutsche hab ich gesagt...!,0,0
4061,      Steht auf wenn ihr Deutsche seit!,0,0
974, Dein Tweet von eben - einfach weg! Wollte Dir eben antworten.,0,0
1899,  Sie können das Gespräch doch gar nicht im Wortlaut gelesen haben. Als Professor urteilen Sie ohne Originalquelle? Das spricht für sich. CL,0,0
4676,"Und die Waffen die wir dagegen haben sind Herz und Hirn. ""Vor Klugheit und Wissen kommt Toleranz und Güte!""",0,0
