,Unnamed: 0,statement,is_toxic,len_text
82,528,"Andrew: what do you think about the udelay? Is it a stupid objection? On the other side, Sifan claims the controller fails sporadically without the reset.

Maybe it's OK to reset it, but it needs to be accounted in the commit log.",0,230
97,2043,"I think ""call graph stack"" makes me confusing. They are two different things, and here the size just means how much user stack do you want to dump.",0,147
167,875,"Complain very loudly if this happens.  This file is machine generated and lives on a read-only partition, so if it's malformed then something terrible has happened.",0,164
568,3654,"Oh, interesting!  Agreed.  ""//lint stfu"" is also uglier, if it were possible.",1,77
423,6528,"Yuck. Where's this list come from? Is there a smaller set like ""dumb"" or unset we could blacklist, instead of whitelisting all these?",1,133
459,2690,"It was also not immediately obvious to me why you were adding a bool to an int, but I get it now.

Is there any way to make this more 'idiot-proof' for the next reader of the code?",1,180
402,5349,This stupid reviewer error (leaving the scrolllock test mode on when committing) was fixed with commit d38459355e3e845ad8db3c515536267923afe3ec,1,143
305,5867,What the hell? I started writing that but then decided I didn't need to reply here after all and removed it. Stupid Gerrit....,1,126
87,825,"Can't we just:

ExpandedForEachType = llvm::FunctionType::get(VoidTy, { RsExpandKernelDriverInfoPfxPtrTy, Int32Ty, Int32Ty, Int32Ty }, false);

Similarly for ExpandedReduceType below.",0,183
132,5125,This is monochrome_public_common_apk_or_module_tmpl.,0,52
96,4619,tar_mock = self.PatchObject. etc etc,0,36
572,2644,"it can be ignored, although the consequences of that CONFIG_PROTECT wise may bite us in the ass to say the least.",1,113
207,3145,Need to kill off &periph_l_regs here.,0,37
212,748,"Can encoder work without VPU? If not, we should remove these ifdef CONFIG_MEDIATEK_VPU.",0,87
43,4202,SCROW instead of sal_uInt16. If not SCROW then at least a 32bit type.,0,69
45,1764,huge nit: please insert a space after the colon.,0,48
566,1144,"dirname seems to work, but I'm marginally happy with the way the code turned out. Seems kind of ugly.",1,101
53,2419,"IIRC dumb mapping of non-dumb buffers is not supported. It happens to work on some drivers, but we should probably not rely on it too much...",0,141
181,4439,Small nit: you load your args in the opposite order here.,0,57
465,4402,silly me. I was xref-ing without your patch.,1,44
594,2947,Look who just caught a (very darned unlikely) potential leak of b64_password?,1,77
106,756,Can this be incognito profile? We currently persist download directory in original profile.,0,91
546,3169,next time i'd cut this nonsense of avoiding an import..,1,55
225,1833,I destroy dev_priv->wq on failure.,0,34
95,588,"as far as I can tell, it's useless, and should be removed.  The whole 'passing arguments to a test' construct should be removed, from all the tests you're working on.",0,166
489,2748,"I've generalized this to include all context managers as Alex prescribed.  I've also left a general warning not to be an idiot about locking.  Unfortunately, it won't reach its intended audience.",1,195
438,3494,"no, i fucked this one up. it's in the right place, but it should be video/...",1,77
376,5377,"this was nasty! logging.log added extra calls to time.time, which made this test depend on the psutil version installed :-/",1,123
